Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
2000,130,Halibut,51,Longline,3PS,3PS,17301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,1.44,0,7824.4,0,0,0,1,1,1,4
2000,130,Halibut,51,Longline,3PS,3PS,17303,3Ps Atlantic Halibut Vessels >100',Tonnes,0,3.44,0,18368.71,0,0,0,1,1,1,4
2000,130,Halibut,59,Hand Line (Baited),3PS,3PS,16178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,24,0.06,0,327.25,0,0,0,1,1,1,1
2001,130,Halibut,12,Bottom Otter Trawl (stern),2J,3PS,17180,2J Atlantic Halibut >100',Tonnes,0,0,0,0,0,0,0,1,1,1,1
2001,130,Halibut,12,Bottom Otter Trawl (stern),3L,3N,19776,3L Atlantic Halibut >100',Tonnes,0,0.1,0,550,0,0,0,1,2,1,2
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.01,0,33,0,0,0,1,3,1,3
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,2.73,0,14675.81,0.01,0,0,3,12,3,46
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.05,0,264,0,0,0,1,1,1,1
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,19550,3NO Atlantic Halibut Mobile Gear < 65',Tonnes,4,1.86,0,10122.83,0,0,0,3,4,3,19
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,4.9,0,31942.89,0.12,0,0,6,18,3,45
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,23098,3NO Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,1.95,0,10364.81,0,0,0,1,1,2,11
2001,130,Halibut,12,Bottom Otter Trawl (stern),3O,3PS,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.03,0,189.47,0,0,0,1,1,1,2
2001,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,17303,3Ps Atlantic Halibut Vessels >100',Tonnes,0,2.66,0,15172.65,0.02,0,0,3,10,3,23
2001,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,19140,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,0.94,0,6005.63,0,0,0,4,4,4,13
2001,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,19822,3Ps Atlantic Halibut Vessels >100',Tonnes,0,2.77,0,18255.43,0.05,0,0,3,8,3,13
2001,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,23096,3Ps Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,0.42,0,2232.98,0,0,0,1,1,1,2
